Name,Price,Discount,Sold,Rating
"Itel S23 - 6.6"" Inch Display - 8GB + 8GB RAM - 128GB / 256GB ROM","Rs. 22,250",,1.1K sold,1.1K sold
"Samsung Galaxy A05s 4GB RAM-128GB ROM 6.7"" FHD+ 90Hz display 5000mAh long-lasting battery","Rs. 38,499",,72 sold,72 sold
"Samsung Galaxy A05 - 6.7"" Inch Display - 4GB RAM - 64GB ROM","Rs. 25,850",,40 sold,40 sold
"Infinix Hot 40 Pro - 8GB Ram 256GB Storage | Non Active | 6.78"" 120Hz Display, 108MP Camera, Android 13, 5000mAh Battery | Stereo Speakers, NFC, 33W Fast Charge | Available in Palm Blue, Horizon Gold | Daraz.pk Exclusive","Rs. 43,999","21% Off
Coins save Rs. 440",122 sold,122 sold
"Redmi A3 - 6.71"" Inch Display - 4GB RAM - 64GB & 128GB ROM","Rs. 23,150",,37 sold,37 sold
"Itel P40 - 6.6"" INch Display - 4GB RAM - 64GB / 128GB ROM","Rs. 19,599",,24 sold,24 sold
Samsung Galaxy A15 - 8GB 256GB - PTA Approved 1 Year Official Warranty,"Rs. 58,999",2% Off,191 sold,191 sold
"Tecno Camon 30 12GB RAM, 256GB ROM, 120Hz CRYSTAL AMOLED DISPLAY, 50MP Dual Camera, 70W ULTRA CHARGE , Dimensity 7020, 5000mAh Battery","Rs. 60,999","13% Off
Coins save Rs. 610",13 sold,13 sold
"Redmi 12 - 6.79"" Inch Display - 8GB RAM - 128GB & 256GB ROM ROM","Rs. 36,950",,354 sold,354 sold
"Samsung Galaxy A05 4GB RAM-64GB ROM 6.7"" HD+ display 5000mAh long-lasting battery","Rs. 24,100",4% Off,309 sold,309 sold
SPARK 20C 128GB ROM+4GB RAM*(4GB+4GB Extended) 5000mAh(typ) Battery PTA Approved Official Brand Warranty,"Rs. 26,250",6% Off,1.4K sold,1.4K sold
Samsung Galaxy S24 ultra 12 GB RAM + 1 TB Storage,"Rs. 541,999",,11 sold,11 sold
"Nokia C31 - 6.75"" Inch Display - 4GB RAM - 64GB ROM / 128GB ROM","Rs. 23,750",,7 sold,7 sold
USED - Apple iPhone X - 64GB - Factory Unlocked - NON-PTA - With Free charger - Free Cover - Daraz Like New Phones,"Rs. 51,399",57% Off,78 sold,78 sold
Etachi ipro Plus - 2.4 Inch Display - Dual sim - PTA APPROVED - 3200mAH Powerful Builtin battery - Wireless FM radio - Auto call recording - AIRPLANE Mode - Memory card Supported - Rejected Unknown Callers - 1000 Contact save memory- 1 Year Brand Warranty,"Rs. 5,499",8% Off,7 sold,7 sold
Redmi A3 4GB RAM + 128 GB ROM,"Rs. 25,999",,19 sold,19 sold
"VNUS Rock 1 - 6.26"" Inch Display - 1GB RAM - 32GB ROM","Rs. 11,999",,43 sold,43 sold
Redmi Note 13 Pro - 8GB RAM - 256GB ROM - PTA Approved - With Official 1 Year Warranty,"Rs. 70,999",,29 sold,29 sold
Tecno Spark Go 2024 4/64,"Rs. 23,999",4% Off,32 sold,32 sold
"Redmi A2 Plus - 6.52"" Inch Display - 3GB RAM - 64GB ROM","Rs. 20,750",,123 sold,123 sold
"itel Flip 1 foldable phone , PTA Approved with One year brand warranty","Rs. 6,499",7% Off,40 sold,40 sold
"GFIVE Rocky- 2.8"" Inch Display - 3000 mAH Battery - Dual Sim - Any Colour","Rs. 3,165",,25 sold,25 sold
"Samsung Galaxy A04 - 6.5"" Inch Display - 3GB RAM - 32GB ROM","Rs. 18,999",,544 sold,544 sold
Q mobile Mini I pro Dual sim Smart phone,"Rs. 2,860",,46 sold,46 sold
Vgotel New 7 - 5.0 Inch Display - 1GB RAM - 16GB ROM - 3G,"Rs. 9,499",,582 sold,582 sold
INFINIX HOT40I 8GB RAM- 128GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY,"Rs. 30,999",,395 sold,395 sold
"Infinix Hot 30i - 6.56"" Inch Display - 8GB RAM - 128GB ROM","Rs. 29,599",,15 sold,15 sold
"Samsung Galaxy A14 , 4GB Ram 128GB Rom , 6.8 PLS LCD Capacitive Touchscreen , 5000 mAh - Fast charging 15W","Rs. 41,999",19% Off,6 sold,6 sold
Infinix Hot 40i || 8GB+8GB Ram 5000mAh Battery || 50MP Camera,"Rs. 31,499",,194 sold,194 sold
Infinix Note 40 Pro RAM 12GB ROM 256GB CAMERA 108 MP Fast Charging One Year Brand Warranty Offcial,"Rs. 80,990",5% Off,45 sold,45 sold
"Samsung Galaxy A24 - 6.5"" Inch Display - 8GB RAM - 128GB ROM","Rs. 62,499",,26 sold,26 sold
Itel S23 8GB Ram 128GB Rom || 6.6 Inches IPS Display 90Hz || 5000 mAh- Battery charging 10W,"Rs. 22,500",6% Off,194 sold,194 sold
"TECNO SPARK 20 Pro + 8GB RAM-256GB ROM 5000mAh(typ) 6.78"" FHD+ AMOLED 120Hz Refresh Rate PTA Approved One Year Official Brand warranty","Rs. 59,999",,201 sold,201 sold
NOKIA 105 DUAL SIM PTA APPROVED LONG LASTING BATTERY,"Rs. 2,599",Coins save Rs. 26,688 sold,688 sold
"Redmi A1 Plus - 6.52"" Inch Display - 2GB RAM - 32GB ROM","Rs. 17,999",,304 sold,304 sold
"Sparx Neo 8 Plus Smartphone - UNISOC T606, Android S (12), 64GB ROM, 4GB RAM, 6.745"" HD+ Display, 90Hz IPS, Dual SIM, 5000mAh Battery, Fingerprint Scanner, Fast Charging","Rs. 21,999",Coins save Rs. 220,47 sold,47 sold
ZTE A54 4GB+4GB = 8GB RAM = 64GB ROM = 5000mAh BATTERY,"Rs. 18,499",,8 sold,8 sold
Infinix Smart 7 - 64GB ROM - 2GB RAM - PTA APPROVED OFFICIAL WARRANTY,"Rs. 18,999",,290 sold,290 sold
"Apple iPhone 15 Pro Max - 6.7"" Inch Display","Rs. 229,990",,,
